---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,Shared-view
SUBJECT ID:,19
TRIAL:,2
TRIAL DATE TIME:,01-14-2020 17:36
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Performance,Performance
Performance vs. Mental Demand,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Effort vs. Performance,Performance
Performance vs. Frustration,Performance
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Temporal Demand,Performance
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Frustration vs. Effort,Effort
Frustration vs. Mental Demand,Mental Demand
