---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,6
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 16:42
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Frustration
Performance vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Effort,Effort
Physical Demand vs. Frustration,Frustration
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Frustration
Physical Demand vs. Performance,Performance
Performance vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Frustration,Frustration
Frustration vs. Effort,Frustration
