---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,3
TRIAL:,2
TRIAL DATE TIME:,01-15-2020 10:29
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Performance,Performance
Frustration vs. Effort,Effort
Mental Demand vs. Physical Demand,Physical Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Frustration vs. Mental Demand,Frustration
Temporal Demand vs. Effort,Effort
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Physical Demand vs. Frustration,Frustration
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Mental Demand,Mental Demand
Performance vs. Mental Demand,Performance
