---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,21
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 13:14
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Physical Demand vs. Frustration,Frustration
Temporal Demand vs. Effort,Temporal Demand
Effort vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Performance vs. Mental Demand,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Effort,Frustration
Frustration vs. Mental Demand,Frustration
