---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,25
TRIAL:,1
TRIAL DATE TIME:,01-17-2020 13:12
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Physical Demand vs. Performance,Performance
Frustration vs. Effort,Effort
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Effort vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
