---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,27
TRIAL:,3
TRIAL DATE TIME:,01-22-2020 13:30
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Effort
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Mental Demand vs. Effort,Effort
Frustration vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Performance vs. Mental Demand,Performance
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Effort vs. Performance,Effort
