---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,8
TRIAL:,3
TRIAL DATE TIME:,01-17-2020 14:59
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Physical Demand
Frustration vs. Mental Demand,Frustration
Performance vs. Temporal Demand,Performance
Physical Demand vs. Performance,Physical Demand
Effort vs. Performance,Effort
Effort vs. Physical Demand,Effort
Temporal Demand vs. Frustration,Frustration
Performance vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Effort
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Frustration,Frustration
Frustration vs. Effort,Frustration
