---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,24
TRIAL:,3
TRIAL DATE TIME:,01-17-2020 10:28
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Physical Demand,Physical Demand
Performance vs. Mental Demand,Performance
Frustration vs. Effort,Effort
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Performance,Physical Demand
Performance vs. Temporal Demand,Performance
Effort vs. Performance,Effort
Mental Demand vs. Effort,Effort
