---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,10
TRIAL:,1
TRIAL DATE TIME:,01-21-2020 14:12
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Performance vs. Frustration,Performance
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Effort vs. Physical Demand,Physical Demand
Frustration vs. Effort,Effort
Effort vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Mental Demand,Performance
