---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,22
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 18:32
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Temporal Demand,Temporal Demand
Effort vs. Performance,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Physical Demand vs. Frustration,Frustration
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Effort,Frustration
Mental Demand vs. Effort,Effort
Performance vs. Mental Demand,Performance
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Frustration vs. Mental Demand,Frustration
Mental Demand vs. Physical Demand,Physical Demand
