---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,20
TRIAL:,2
TRIAL DATE TIME:,01-15-2020 18:55
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Frustration
Performance vs. Mental Demand,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Effort vs. Performance,Performance
Frustration vs. Effort,Frustration
Performance vs. Frustration,Performance
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Physical Demand,Physical Demand
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
