---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,1
TRIAL:,2
TRIAL DATE TIME:,01-14-2020 19:09
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Effort
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Temporal Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Effort vs. Performance,Effort
Performance vs. Frustration,Performance
Performance vs. Mental Demand,Performance
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Effort,Effort
