---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,24
TRIAL:,2
TRIAL DATE TIME:,01-17-2020 10:23
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Temporal Demand,Physical Demand
Mental Demand vs. Effort,Effort
Effort vs. Physical Demand,Effort
Effort vs. Performance,Performance
Frustration vs. Effort,Effort
Frustration vs. Mental Demand,Frustration
Performance vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Performance
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
