---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,7
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 19:15
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Physical Demand,Mental Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Effort,Temporal Demand
Temporal Demand vs. Mental Demand,Mental Demand
Performance vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Frustration
Performance vs. Frustration,Frustration
Temporal Demand vs. Frustration,Frustration
Effort vs. Performance,Performance
