---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,37
TRIAL:,1
TRIAL DATE TIME:,01-15-2020 11:15
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Frustration,Performance
Frustration vs. Mental Demand,Mental Demand
Frustration vs. Effort,Frustration
Mental Demand vs. Effort,Mental Demand
Performance vs. Temporal Demand,Temporal Demand
Effort vs. Performance,Performance
Performance vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Frustration
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Frustration
Physical Demand vs. Performance,Performance
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Mental Demand,Temporal Demand
