---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,9
TRIAL:,1
TRIAL DATE TIME:,01-21-2020 10:39
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Effort,Mental Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Frustration
Frustration vs. Mental Demand,Mental Demand
Performance vs. Mental Demand,Performance
Effort vs. Physical Demand,Effort
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Frustration,Frustration
Performance vs. Temporal Demand,Performance
Frustration vs. Effort,Frustration
Effort vs. Performance,Effort
