---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,23
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 19:44
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Mental Demand,Temporal Demand
Physical Demand vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Effort vs. Performance,Effort
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Effort,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Mental Demand vs. Effort,Effort
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Mental Demand,Performance
