---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,8
TRIAL:,2
TRIAL DATE TIME:,01-17-2020 14:51
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Effort,Effort
Mental Demand vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Temporal Demand
Effort vs. Performance,Performance
Mental Demand vs. Physical Demand,Physical Demand
Performance vs. Mental Demand,Performance
