---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,39
TRIAL:,2
TRIAL DATE TIME:,01-21-2020 16:50
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Frustration
Temporal Demand vs. Effort,Effort
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Performance vs. Temporal Demand,Performance
Frustration vs. Effort,Frustration
Mental Demand vs. Effort,Effort
Temporal Demand vs. Frustration,Frustration
Effort vs. Performance,Effort
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Frustration
Performance vs. Frustration,Frustration
