---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,4
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 14:29
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Mental Demand,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Physical Demand vs. Performance,Physical Demand
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Frustration
Temporal Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Mental Demand vs. Effort,Mental Demand
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Frustration
Performance vs. Temporal Demand,Performance
Frustration vs. Effort,Effort
