---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,2
TRIAL:,1
TRIAL DATE TIME:,01-14-2020 20:07
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Performance,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Effort vs. Performance,Performance
Performance vs. Frustration,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Physical Demand,Mental Demand
Physical Demand vs. Temporal Demand,Physical Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Mental Demand,Performance
Effort vs. Physical Demand,Physical Demand
Frustration vs. Effort,Effort
Performance vs. Temporal Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
