---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,4
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 14:14
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Temporal Demand,Performance
Frustration vs. Effort,Effort
Mental Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Performance,Performance
Performance vs. Mental Demand,Performance
Frustration vs. Mental Demand,Frustration
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Effort,Effort
Effort vs. Performance,Performance
