---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,29
TRIAL:,3
TRIAL DATE TIME:,01-23-2020 18:33
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Mental Demand,Performance
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Mental Demand vs. Effort,Effort
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Frustration,Frustration
Performance vs. Frustration,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Performance,Effort
Frustration vs. Mental Demand,Frustration
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Temporal Demand,Temporal Demand
Physical Demand vs. Temporal Demand,Temporal Demand
