---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,2
TRIAL:,2
TRIAL DATE TIME:,01-14-2020 20:17
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Effort,Effort
Physical Demand vs. Frustration,Physical Demand
Performance vs. Mental Demand,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Effort vs. Performance,Performance
Physical Demand vs. Performance,Physical Demand
Performance vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Frustration
Temporal Demand vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Mental Demand vs. Effort,Mental Demand
Mental Demand vs. Physical Demand,Physical Demand
Frustration vs. Mental Demand,Frustration
