---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,21
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 13:29
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Mental Demand vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Frustration,Frustration
Effort vs. Performance,Effort
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Frustration
Physical Demand vs. Performance,Physical Demand
Performance vs. Temporal Demand,Temporal Demand
Frustration vs. Mental Demand,Frustration
Temporal Demand vs. Effort,Effort
