---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,8
TRIAL:,1
TRIAL DATE TIME:,01-17-2020 14:38
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Frustration,Performance
Frustration vs. Mental Demand,Mental Demand
Performance vs. Mental Demand,Performance
Mental Demand vs. Effort,Effort
Performance vs. Temporal Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Temporal Demand
Frustration vs. Effort,Effort
Effort vs. Performance,Performance
