---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,Shared-view
SUBJECT ID:,19
TRIAL:,3
TRIAL DATE TIME:,01-14-2020 17:42
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Physical Demand vs. Frustration,Frustration
Physical Demand vs. Temporal Demand,Physical Demand
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Frustration,Frustration
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Effort vs. Performance,Performance
Performance vs. Frustration,Performance
Performance vs. Mental Demand,Performance
