---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,23
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 20:15
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Performance,Performance
Frustration vs. Mental Demand,Frustration
Physical Demand vs. Temporal Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Temporal Demand,Temporal Demand
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Temporal Demand vs. Effort,Temporal Demand
Effort vs. Performance,Performance
Performance vs. Mental Demand,Performance
Mental Demand vs. Effort,Effort
Physical Demand vs. Frustration,Physical Demand
Performance vs. Frustration,Performance
Frustration vs. Effort,Effort
