---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,3
TRIAL:,1
TRIAL DATE TIME:,01-15-2020 10:19
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Effort,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Mental Demand vs. Effort,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Frustration vs. Effort,Effort
Physical Demand vs. Performance,Performance
Effort vs. Performance,Performance
Performance vs. Frustration,Performance
Mental Demand vs. Physical Demand,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Mental Demand,Performance
Effort vs. Physical Demand,Effort
