---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,7
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 19:20
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Effort,Effort
Performance vs. Mental Demand,Performance
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Temporal Demand,Temporal Demand
Physical Demand vs. Performance,Performance
Effort vs. Physical Demand,Effort
Physical Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
Mental Demand vs. Physical Demand,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Effort vs. Performance,Performance
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
