---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,10
TRIAL:,2
TRIAL DATE TIME:,01-21-2020 14:20
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Physical Demand,Physical Demand
Effort vs. Performance,Effort
Performance vs. Mental Demand,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Effort,Effort
Frustration vs. Effort,Frustration
Frustration vs. Mental Demand,Frustration
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Physical Demand
Performance vs. Temporal Demand,Performance
Mental Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
