---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,3
TRIAL:,3
TRIAL DATE TIME:,01-15-2020 10:42
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Effort,Effort
Effort vs. Performance,Performance
Mental Demand vs. Effort,Effort
Physical Demand vs. Performance,Performance
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Mental Demand
Performance vs. Mental Demand,Performance
Performance vs. Temporal Demand,Performance
Effort vs. Physical Demand,Effort
Temporal Demand vs. Frustration,Frustration
Frustration vs. Effort,Frustration
Frustration vs. Mental Demand,Frustration
