---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,20
TRIAL:,3
TRIAL DATE TIME:,01-15-2020 19:02
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Performance vs. Temporal Demand,Performance
Mental Demand vs. Effort,Effort
Frustration vs. Effort,Frustration
Effort vs. Physical Demand,Physical Demand
Performance vs. Mental Demand,Performance
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Effort vs. Performance,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Frustration,Performance
