---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,38
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 15:21
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Mental Demand,Performance
Performance vs. Frustration,Performance
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Effort,Effort
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Effort,Effort
Effort vs. Physical Demand,Effort
Physical Demand vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Temporal Demand,Performance
Physical Demand vs. Frustration,Frustration
