---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,28
TRIAL:,2
TRIAL DATE TIME:,01-23-2020 10:48
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Frustration vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Effort,Effort
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Mental Demand,Performance
Physical Demand vs. Performance,Physical Demand
Mental Demand vs. Effort,Effort
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Mental Demand,Mental Demand
