---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,21
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 13:23
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Effort,Effort
Effort vs. Physical Demand,Physical Demand
Effort vs. Performance,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Effort,Frustration
Performance vs. Temporal Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Mental Demand,Performance
Frustration vs. Mental Demand,Frustration
Performance vs. Frustration,Frustration
Physical Demand vs. Performance,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Effort,Temporal Demand
