---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,6
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 16:51
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Performance,Performance
Performance vs. Mental Demand,Mental Demand
Effort vs. Physical Demand,Effort
Effort vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Temporal Demand vs. Mental Demand,Mental Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Frustration vs. Effort,Effort
Performance vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Frustration,Performance
Physical Demand vs. Frustration,Frustration
