---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,5
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 16:19
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Performance,Performance
Mental Demand vs. Physical Demand,Mental Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Mental Demand,Performance
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Effort
Temporal Demand vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Effort vs. Physical Demand,Effort
