---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,9
TRIAL:,2
TRIAL DATE TIME:,01-21-2020 10:48
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Frustration,Frustration
Temporal Demand vs. Mental Demand,Mental Demand
Performance vs. Temporal Demand,Temporal Demand
Physical Demand vs. Frustration,Frustration
Performance vs. Mental Demand,Performance
Mental Demand vs. Effort,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Frustration vs. Mental Demand,Frustration
Effort vs. Physical Demand,Effort
Temporal Demand vs. Effort,Effort
Frustration vs. Effort,Frustration
Performance vs. Frustration,Frustration
Physical Demand vs. Performance,Performance
