---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,20
TRIAL:,1
TRIAL DATE TIME:,01-15-2020 18:47
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Frustration,Performance
Effort vs. Performance,Performance
Performance vs. Temporal Demand,Performance
Physical Demand vs. Frustration,Physical Demand
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Effort,Effort
Mental Demand vs. Physical Demand,Mental Demand
Effort vs. Physical Demand,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Effort,Effort
Physical Demand vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Performance vs. Mental Demand,Performance
