---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,22
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 18:20
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Physical Demand,Physical Demand
Mental Demand vs. Effort,Effort
Physical Demand vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
Performance vs. Mental Demand,Performance
Frustration vs. Effort,Effort
Temporal Demand vs. Effort,Temporal Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Temporal Demand,Temporal Demand
Effort vs. Performance,Performance
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Frustration,Performance
