---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,5
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 16:12
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Frustration
Performance vs. Temporal Demand,Performance
Effort vs. Physical Demand,Effort
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Frustration
Physical Demand vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
Performance vs. Mental Demand,Performance
Frustration vs. Effort,Frustration
Performance vs. Frustration,Frustration
Effort vs. Performance,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
