---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,37
TRIAL:,3
TRIAL DATE TIME:,01-15-2020 11:28
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Mental Demand,Performance
Performance vs. Temporal Demand,Temporal Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Effort vs. Performance,Performance
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Physical Demand
