---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,25
TRIAL:,3
TRIAL DATE TIME:,01-17-2020 13:25
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Temporal Demand
Effort vs. Physical Demand,Effort
Physical Demand vs. Performance,Performance
Performance vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Effort
Performance vs. Mental Demand,Performance
Performance vs. Frustration,Performance
Effort vs. Performance,Performance
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Effort,Temporal Demand
