---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,7
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 19:09
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Frustration
Performance vs. Temporal Demand,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Effort vs. Performance,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Physical Demand
Effort vs. Physical Demand,Physical Demand
Temporal Demand vs. Effort,Effort
Performance vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Mental Demand vs. Physical Demand,Mental Demand
