---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,11
TRIAL:,1
TRIAL DATE TIME:,01-23-2020 17:26
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Mental Demand,Performance
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Performance,Physical Demand
Effort vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Mental Demand vs. Effort,Mental Demand
Mental Demand vs. Physical Demand,Physical Demand
