---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,25
TRIAL:,2
TRIAL DATE TIME:,01-17-2020 13:20
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Physical Demand,Effort
Effort vs. Performance,Performance
Frustration vs. Effort,Effort
Physical Demand vs. Frustration,Frustration
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Mental Demand,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
Physical Demand vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
