---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,22
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 18:43
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Frustration,Frustration
Effort vs. Physical Demand,Effort
Performance vs. Mental Demand,Performance
Frustration vs. Effort,Frustration
Mental Demand vs. Effort,Mental Demand
Performance vs. Temporal Demand,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Frustration
Temporal Demand vs. Frustration,Frustration
Effort vs. Performance,Performance
Mental Demand vs. Physical Demand,Mental Demand
Frustration vs. Mental Demand,Frustration
