---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,5
TRIAL:,1
TRIAL DATE TIME:,01-16-2020 16:03
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Mental Demand,Frustration
Performance vs. Frustration,Frustration
Temporal Demand vs. Effort,Temporal Demand
Effort vs. Physical Demand,Physical Demand
Physical Demand vs. Performance,Performance
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Temporal Demand,Temporal Demand
Performance vs. Mental Demand,Performance
Performance vs. Temporal Demand,Temporal Demand
Frustration vs. Effort,Frustration
Effort vs. Performance,Performance
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
Physical Demand vs. Frustration,Frustration
