---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,29
TRIAL:,1
TRIAL DATE TIME:,01-23-2020 18:13
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Temporal Demand,Performance
Performance vs. Mental Demand,Performance
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Frustration,Performance
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Frustration
Frustration vs. Effort,Frustration
Physical Demand vs. Temporal Demand,Physical Demand
Effort vs. Performance,Performance
Mental Demand vs. Effort,Effort
Physical Demand vs. Performance,Performance
Mental Demand vs. Physical Demand,Physical Demand
Effort vs. Physical Demand,Physical Demand
