---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,10
TRIAL:,3
TRIAL DATE TIME:,01-21-2020 14:27
---DATA---
PAIRWISE CHOICES, SELECTION
Effort vs. Physical Demand,Physical Demand
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Effort vs. Performance,Effort
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Mental Demand,Mental Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Mental Demand,Performance
Temporal Demand vs. Effort,Effort
Physical Demand vs. Performance,Physical Demand
Mental Demand vs. Effort,Effort
