---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,39
TRIAL:,1
TRIAL DATE TIME:,01-21-2020 16:42
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Mental Demand,Performance
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Effort,Mental Demand
Physical Demand vs. Performance,Performance
Mental Demand vs. Physical Demand,Mental Demand
Effort vs. Physical Demand,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Temporal Demand,Temporal Demand
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Performance
Frustration vs. Effort,Effort
