---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,28
TRIAL:,3
TRIAL DATE TIME:,01-23-2020 10:52
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Mental Demand,Mental Demand
Performance vs. Temporal Demand,Performance
Effort vs. Performance,Effort
Physical Demand vs. Frustration,Frustration
Physical Demand vs. Temporal Demand,Temporal Demand
Physical Demand vs. Performance,Performance
Temporal Demand vs. Frustration,Frustration
Performance vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Mental Demand vs. Effort,Mental Demand
Temporal Demand vs. Effort,Effort
Effort vs. Physical Demand,Effort
Frustration vs. Effort,Effort
Performance vs. Frustration,Performance
