---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,27
TRIAL:,1
TRIAL DATE TIME:,01-22-2020 13:13
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Temporal Demand,Performance
Frustration vs. Effort,Frustration
Temporal Demand vs. Frustration,Temporal Demand
Performance vs. Frustration,Performance
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Temporal Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Physical Demand,Effort
Mental Demand vs. Effort,Effort
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Frustration vs. Mental Demand,Frustration
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
