---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,28
TRIAL:,1
TRIAL DATE TIME:,01-23-2020 10:44
---DATA---
PAIRWISE CHOICES, SELECTION
Performance vs. Mental Demand,Performance
Mental Demand vs. Physical Demand,Mental Demand
Physical Demand vs. Temporal Demand,Physical Demand
Effort vs. Physical Demand,Effort
Performance vs. Frustration,Performance
Performance vs. Temporal Demand,Performance
Mental Demand vs. Effort,Mental Demand
Frustration vs. Effort,Effort
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
Effort vs. Performance,Performance
Physical Demand vs. Performance,Performance
