---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,4
TRIAL:,2
TRIAL DATE TIME:,01-16-2020 14:22
---DATA---
PAIRWISE CHOICES, SELECTION
Frustration vs. Effort,Effort
Effort vs. Physical Demand,Physical Demand
Frustration vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Mental Demand
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Effort,Effort
Temporal Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Performance,Performance
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Effort vs. Performance,Performance
Performance vs. Mental Demand,Performance
