---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,24
TRIAL:,1
TRIAL DATE TIME:,01-17-2020 10:16
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Mental Demand,Frustration
Mental Demand vs. Effort,Effort
Effort vs. Physical Demand,Physical Demand
Temporal Demand vs. Effort,Temporal Demand
Frustration vs. Effort,Effort
Performance vs. Temporal Demand,Performance
Performance vs. Mental Demand,Performance
Performance vs. Frustration,Performance
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Performance,Performance
Temporal Demand vs. Frustration,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
