---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,26
TRIAL:,2
TRIAL DATE TIME:,01-21-2020 15:29
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Effort,Effort
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Physical Demand vs. Performance,Performance
Frustration vs. Effort,Effort
Effort vs. Performance,Effort
Performance vs. Mental Demand,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Performance vs. Temporal Demand,Performance
Mental Demand vs. Effort,Effort
Frustration vs. Mental Demand,Mental Demand
Performance vs. Frustration,Performance
Effort vs. Physical Demand,Effort
