---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,1
TRIAL:,1
TRIAL DATE TIME:,01-14-2020 19:03
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Frustration vs. Effort,Effort
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Frustration,Physical Demand
Performance vs. Temporal Demand,Temporal Demand
Frustration vs. Mental Demand,Mental Demand
Temporal Demand vs. Effort,Temporal Demand
Effort vs. Physical Demand,Physical Demand
Performance vs. Mental Demand,Performance
Physical Demand vs. Performance,Performance
Effort vs. Performance,Performance
Temporal Demand vs. Mental Demand,Temporal Demand
