---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,26
TRIAL:,1
TRIAL DATE TIME:,01-21-2020 15:22
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Frustration,Temporal Demand
Physical Demand vs. Performance,Performance
Frustration vs. Mental Demand,Mental Demand
Performance vs. Mental Demand,Performance
Frustration vs. Effort,Effort
Physical Demand vs. Frustration,Physical Demand
Effort vs. Physical Demand,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Effort vs. Performance,Performance
Physical Demand vs. Temporal Demand,Temporal Demand
Mental Demand vs. Physical Demand,Physical Demand
Performance vs. Frustration,Performance
Performance vs. Temporal Demand,Temporal Demand
Temporal Demand vs. Effort,Effort
Mental Demand vs. Effort,Effort
