---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,9
TRIAL:,3
TRIAL DATE TIME:,01-21-2020 10:53
---DATA---
PAIRWISE CHOICES, SELECTION
Mental Demand vs. Physical Demand,Physical Demand
Physical Demand vs. Frustration,Physical Demand
Physical Demand vs. Performance,Physical Demand
Mental Demand vs. Effort,Effort
Effort vs. Performance,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Effort,Effort
Physical Demand vs. Temporal Demand,Physical Demand
Performance vs. Temporal Demand,Performance
Performance vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Temporal Demand
Temporal Demand vs. Effort,Effort
Performance vs. Frustration,Performance
Effort vs. Physical Demand,Physical Demand
Frustration vs. Mental Demand,Mental Demand
