---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,verbal
SUBJECT ID:,6
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 16:57
---DATA---
PAIRWISE CHOICES, SELECTION
Physical Demand vs. Temporal Demand,Physical Demand
Physical Demand vs. Performance,Performance
Temporal Demand vs. Effort,Effort
Effort vs. Performance,Performance
Performance vs. Mental Demand,Performance
Performance vs. Temporal Demand,Performance
Performance vs. Frustration,Performance
Mental Demand vs. Effort,Effort
Effort vs. Physical Demand,Physical Demand
Mental Demand vs. Physical Demand,Physical Demand
Temporal Demand vs. Frustration,Temporal Demand
Temporal Demand vs. Mental Demand,Temporal Demand
Frustration vs. Effort,Effort
Frustration vs. Mental Demand,Mental Demand
Physical Demand vs. Frustration,Physical Demand
