---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-view
SUBJECT ID:,29
TRIAL:,2
TRIAL DATE TIME:,01-23-2020 18:25
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Effort,Temporal Demand
Mental Demand vs. Physical Demand,Mental Demand
Temporal Demand vs. Frustration,Frustration
Effort vs. Physical Demand,Effort
Temporal Demand vs. Mental Demand,Temporal Demand
Performance vs. Mental Demand,Performance
Physical Demand vs. Performance,Performance
Performance vs. Temporal Demand,Temporal Demand
Performance vs. Frustration,Frustration
Frustration vs. Effort,Frustration
Effort vs. Performance,Effort
Mental Demand vs. Effort,Effort
Frustration vs. Mental Demand,Frustration
Physical Demand vs. Temporal Demand,Temporal Demand
Physical Demand vs. Frustration,Frustration
