---NASA TLX V1.0.2 SINGLE TRIAL PAIRWISE ANSWERS---
STUDY NAME:,VR-TASK-Instructions
STUDY GROUP:,shared-body
SUBJECT ID:,38
TRIAL:,3
TRIAL DATE TIME:,01-16-2020 15:29
---DATA---
PAIRWISE CHOICES, SELECTION
Temporal Demand vs. Mental Demand,Mental Demand
Mental Demand vs. Physical Demand,Physical Demand
Frustration vs. Mental Demand,Frustration
Physical Demand vs. Performance,Performance
Effort vs. Performance,Effort
Physical Demand vs. Temporal Demand,Temporal Demand
Physical Demand vs. Frustration,Frustration
Frustration vs. Effort,Frustration
Effort vs. Physical Demand,Effort
Performance vs. Temporal Demand,Performance
Temporal Demand vs. Effort,Temporal Demand
Performance vs. Frustration,Performance
Performance vs. Mental Demand,Mental Demand
Temporal Demand vs. Frustration,Frustration
Mental Demand vs. Effort,Effort
